what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1329267183089
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1329267183090
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1329267183090
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1329267183091
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1329267183092
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1329267183092
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329267183092
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329267183093
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329267183093
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329267183094
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329267183094
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329267183096
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329267183096
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329267183097
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201110251051,"org.eclipse.wb.discovery.core",1329267183097
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201110251051,"org.eclipse.wb.discovery.ui",1329267183098
os,sysinfo,,,"macosx",1329267183100
arch,sysinfo,,,"x86_64",1329267183100
ws,sysinfo,,,"cocoa",1329267183100
locale,sysinfo,,,"en_US",1329267183100
processors,sysinfo,,,"8",1329267183100
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329267183100
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1329267183100
java.specification.name,sysinfo,,,"Java Platform API Specification",1329267183100
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329267183100
java.specification.version,sysinfo,,,"1.6",1329267183100
java.vendor,sysinfo,,,"Apple Inc.",1329267183100
java.version,sysinfo,,,"1.6.0_29",1329267183100
java.vm.info,sysinfo,,,"mixed mode",1329267183100
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1329267183100
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329267183100
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329267183100
java.vm.specification.version,sysinfo,,,"1.0",1329267183100
java.vm.vendor,sysinfo,,,"Apple Inc.",1329267183100
java.vm.version,sysinfo,,,"20.4-b02-402",1329267183100
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329267183104
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1329267196600
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329267196605
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1329267196700
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1329267196752
